id_sensor_low_cost,phenomenon_time,coverage,status_id,id_sensor_low_cost_feature,no_we,no_aux,id_aq_legal_station
4011,2019-09-11 00:10:00,5,25,1,311.74,16.96,9625
4011,2019-09-11 00:20:00,4,25,1,310.18,15.93,9625
4011,2019-09-11 00:30:00,5,25,1,311.79,16.53,9625
4011,2019-09-11 00:40:00,5,25,1,311.15,16.61,9625
4011,2019-09-11 00:50:00,4,25,1,311.85,16.55,9625
4011,2019-09-11 01:00:00,5,25,1,311.52,17.41,9625
4011,2019-09-11 01:10:00,5,25,1,311.99,16.83,9625
4011,2019-09-11 01:20:00,5,25,1,310.91,16.88,9625
4011,2019-09-11 01:30:00,5,25,1,311.17,16.7,9625
4011,2019-09-11 01:40:00,5,25,1,311.32,17.34,9625
4011,2019-09-11 01:50:00,5,25,1,311.15,16.7,9625
4011,2019-09-11 02:00:00,5,25,1,310.27,16.83,9625
4011,2019-09-11 02:10:00,5,25,1,310.75,16.57,9625
4011,2019-09-11 02:20:00,5,25,1,309.96,16.64,9625
4011,2019-09-11 02:30:00,5,25,1,309.14,15.36,9625
4011,2019-09-11 02:40:00,3,25,1,310.12,16.27,9625
4011,2019-09-11 02:50:00,5,25,1,310.62,16.64,9625
4011,2019-09-11 03:00:00,5,25,1,309.28,16.15,9625
4011,2019-09-11 03:10:00,5,25,1,310.2,16.26,9625
4011,2019-09-11 03:20:00,5,25,1,310.05,16.24,9625
4011,2019-09-11 03:30:00,4,25,1,309.38,16.43,9625
4011,2019-09-11 03:40:00,4,25,1,309.1,16.41,9625
4011,2019-09-11 03:50:00,5,25,1,310.05,16.88,9625
4011,2019-09-11 04:00:00,5,25,1,309.72,16.57,9625
4011,2019-09-11 04:10:00,5,25,1,309.92,17.07,9625
4011,2019-09-11 04:20:00,5,25,1,308.9,15.88,9625
4011,2019-09-11 04:30:00,4,25,1,309.43,16.34,9625
4011,2019-09-11 04:40:00,5,25,1,309.16,16.17,9625
4011,2019-09-11 04:50:00,4,25,1,308.28,16.3,9625
4011,2019-09-11 05:00:00,5,25,1,309.25,16.11,9625
4011,2019-09-11 05:10:00,5,25,1,306.94,14.61,9625
4011,2019-09-11 05:20:00,5,25,1,308.51,15.6,9625
4011,2019-09-11 05:30:00,5,25,1,309.01,16.44,9625
4011,2019-09-11 05:40:00,4,25,1,310.52,16.98,9625
4011,2019-09-11 05:50:00,4,25,1,310.46,17.01,9625
4011,2019-09-11 06:00:00,5,25,1,312.19,18.49,9625
4011,2019-09-11 06:10:00,5,25,1,311.76,18.05,9625
4011,2019-09-11 06:20:00,5,25,1,312.34,18.73,9625
4011,2019-09-11 06:30:00,5,25,1,311.37,17.07,9625
4011,2019-09-11 06:40:00,5,25,1,311.15,16.79,9625
4011,2019-09-11 06:50:00,5,25,1,311.44,16.24,9625
4011,2019-09-11 07:00:00,5,25,1,312.08,16.7,9625
4011,2019-09-11 07:10:00,5,25,1,311.61,16,9625
4011,2019-09-11 07:20:00,5,25,1,311.83,15.36,9625
4011,2019-09-11 07:30:00,3,25,1,313.17,16.36,9625
4011,2019-09-11 07:40:00,5,25,1,313.18,15.78,9625
4011,2019-09-11 07:50:00,5,25,1,316.66,17.69,9625
4011,2019-09-11 08:00:00,5,25,1,316.75,17.5,9625
4011,2019-09-11 08:10:00,5,25,1,317.38,17.67,9625
4011,2019-09-11 08:20:00,5,25,1,316.33,15.55,9625
4011,2019-09-11 08:30:00,5,25,1,316.57,14.98,9625
4011,2019-09-11 08:40:00,5,25,1,317.76,15.67,9625
4011,2019-09-11 08:50:00,5,25,1,319.01,16.17,9625
4011,2019-09-11 09:00:00,4,25,1,318.81,15.31,9625
4011,2019-09-11 09:10:00,5,25,1,320.05,15.62,9625
4011,2019-09-11 09:20:00,5,25,1,322.5,17.1,9625
4011,2019-09-11 09:30:00,4,25,1,322.7,16.91,9625
4011,2019-09-11 09:40:00,5,25,1,322.1,15.36,9625
4011,2019-09-11 09:50:00,5,25,1,323.05,15.86,9625
4011,2019-09-11 10:00:00,5,25,1,322.85,15.18,9625
4011,2019-09-11 10:10:00,5,25,1,322.21,13.99,9625
4011,2019-09-11 10:20:00,5,25,1,322.63,13.42,9625
4011,2019-09-11 10:30:00,4,25,1,323.64,13.69,9625
4011,2019-09-11 10:40:00,5,25,1,325.56,13.93,9625
4011,2019-09-11 10:50:00,5,25,1,325.38,13.24,9625
4011,2019-09-11 11:00:00,5,25,1,327.41,14.96,9625
4011,2019-09-11 11:10:00,3,25,1,331.12,17.52,9625
4011,2019-09-11 11:20:00,5,25,1,331.37,15.45,9625
4011,2019-09-11 11:30:00,5,25,1,335.05,15.88,9625
4011,2019-09-11 11:40:00,5,25,1,337.35,15.45,9625
4011,2019-09-11 11:50:00,5,25,1,339.18,14.5,9625
4011,2019-09-11 12:00:00,4,25,1,342.75,13.85,9625
4011,2019-09-11 12:10:00,4,25,1,340.64,8.1,9625
4011,2019-09-11 12:20:00,5,25,1,349.99,14.89,9625
4011,2019-09-11 12:30:00,5,25,1,354.49,14.47,9625
4011,2019-09-11 12:40:00,5,25,1,351.65,7.31,9625
